,intitule,lieu,date,nom_entreprise,description,lien
0,Data Analyst en Alternance H/F,ain,2022-02-26,OpenClassrooms,"La formationVous suivez un cursus en alternance avec OpenClassrooms en parall&egrave;le de vos missions chez l'employeur dans le cadre d'un contrat d'apprentissage ou d'un contrat de professionnalisation. Nous vous invitons &agrave; v&eacute;rifier votre &eacute;ligibilit&eacute; au contrat vis&eacute; en suivant le lien pr&eacute;c&eacute;dent. Vous b&eacute;n&eacute;ficiez d&rsquo;une r&eacute;mun&eacute;ration correspondant &agrave; un pourcentage du SMIC (ou, dans certains cas, du salaire minimum conventionnel) d&egrave;s le 1er jour, variant en fonction de votre &acirc;ge et de votre progression dans le cycle de formation. Le rythme pr&eacute;conis&eacute; : 2j en formation et 3j en entreprises par semaine. La dur&eacute;e de formation : voir selon le parcours pr&eacute;par&eacute;.Les avantages des parcours en alternance chez OpenClassrooms Cours en vid&eacute;o et projets professionnalisants accessibles 24h/24, 7j/7100% en ligne : pas de date de rentr&eacute;e impos&eacute;e (d&eacute;marrage toutes les semaines) et aucun d&eacute;placement n&eacute;cessaireAccompagnement personnalis&eacute; par un mentor expert chaque semaineUn dipl&ocirc;me de niveau Bac+2 &agrave; Bac+5 de niveau reconnu par l'&Eacute;tat fran&ccedil;aisAucun frais &agrave; engager si vous avez jusqu'&agrave; 29 ans inclus ou si vous &ecirc;tes demandeur d'emploiD&eacute;ploiement du tableau de bord indicateurs national (Power BI)- Identifier les indicateurs &agrave; mettre en place,- Comprendre le fonctionnement de la remont&eacute;e des indicateurs,- Identifier le besoin client sur les ateliers de production,- Identifier les outils et sources pouvant r&eacute;pondre au besoin client,- Structurer les tableaux de bord sur 3 niveaux (national, AP et &eacute;quipes) en respectant les connexions entre eux,- Former les diff&eacute;rents niveaux &agrave; son utilisation (support, animation et SAV),- P&eacute;renniser et fiabiliser les sources d&rsquo;entr&eacute;e du tableau de bord,- Cr&eacute;er un support permettant d&rsquo;assurer la maintenabilit&eacute; du syst&egrave;me,- Mettre en place un moyen pour afficher le tableau de bord en version dynamique dans les ateliers de production.Profil recherch&eacute; Connaissance outils POWER BI et projetmise en &oelig;uvre d'indicateursmise en ligne et adaptation des indicateurspertinence d'indicateurstravail en mode projetd&eacute;ploiement d'un projet multisitesforce de propositionautonomiecomp&eacute;tences p&eacute;dagogiques de d&eacute;ploiement d'outils informatiquesPour postuler1) Candidatez &agrave; l'annonce en remplissant vos coordonn&eacute;es (Nom, Pr&eacute;nom, adresse mail)2) Vous recevrez un mail instantan&eacute;ment afin de compl&eacute;ter votre candidature &agrave; la formation. Attention &agrave; bien consulter les pr&eacute;requis obligatoires de la formation pour acc&eacute;der &agrave; la certification.3) Notre &eacute;quipe de Admissions vous contactera tr&egrave;s vite pour un entretien ",https://candidat.pole-emploi.fr/offres/recherche/detail/9935544
1,Data scientist h/f,69,2022-02-26,Unknow,"

Vous savez prendre de la hauteur ? Vous considérez que les SI sont des outils de développement et de stratégie ? Rejoignez une entreprise innovante en pleine mutation technologique !

Enedis, entreprise de service public nouvelle génération, vous invite à devenir acteur de la transition écologique au coeur des territoires et de relever les défis du numérique.

Avec ses 750 collaborateurs et une croissance d'effectifs prévue de 12% par an, la DSI d'Enedis est pleinement engagée dans la transformation et la digitalisation du réseau électrique.

Nex'us est le pôle qui conçoit, développe, déploie et exploite les systèmes communicants d'Enedis avec le projet phare de l'entreprise : Linky. Au coeur de la transition écologiques, les chaines communicantes permettent une meilleure exploitation des réseaux et apportent de la valeur aux clients et aux métiers d'Enedis par l'exploitation des données .

En tant que Data Scientist, votre rôle est d'analyser, exploiter et valoriser les données du réseau.

Vos activités principales sont de: 

 - Produire des indicateurs et système d'aide à la décision pour répondre aux besoins de la Direction Technique

 - Proposer et lancer des projets d'innovation (Machine Learning, IA...) en lien avec les données exploitables

 - Lancer un projet de refonte de la chaîne d'information permettant d'identifier les redimensionnements nécessaires sur le réseau de distribution

 - Appuyer l'équipe de développement sur les thématiques liées à l'exploitation des données

 - Étudier et superviser les échanges de données entre les SI de la chaîne d'information sur la qualité de fourniture

 - Participer activement aux projets transverses inter-SI d'Enedis

 ",https://candidat.pole-emploi.fr/offres/recherche/detail/9929460
2,DATA SCIENTIST EN ALTERNANCE (H/F),bron,2022-02-26,Unknow,"Recherche: DATA SCIENTIST EN ALTERNANCE (H/F)
Avec plus de 21 milliards de kilomètres parcourus par an sur les 2 300 km de son réseau; APRR et sa filiale AREA se placent au 4e rang des groupes autoroutiers européens. Les 3 500 collaborateurs du Groupe travaillent 365 jours par an, 7j/7, 24h/24 pour rendre possible toutes les envies et tous les besoins de déplacement; avec comme missions principales : sécuriser; accompagner et faciliter la mobilité.
Description du poste
Chaque jour, les 3 500 collaborateurs d'APRR agissent pour rendre les voyages plus sûrs et plus confortables. Tout au long des 2 300 kilomètres de son réseau; APRR répond aux attentes de ses clients à travers la modernisation des infrastructures, le développement de nouveaux services, l'intégration du numérique.
4e groupe autoroutier européen; APRR et sa filiale AREA, sont au cœur d'un secteur qui se transforme profondément pour répondre aux défis de la mobilité de demain. Exploitants d'autoroutes, des maitres d'... ",https://candidat.pole-emploi.fr/offres/recherche/detail/9894646
3,INGENIEUR DATA (H/F),rillieux la pape,2022-02-25,XEFI LYON,"MISSIONS :
En tant qu'Ingénieur Data, vous serez en charge du développement d'un outil informatique de mesure de l'empreinte carbone dans le domaine du numérique. En intégrant une équipe agile, vous serez l'un des acteurs principaux du développement de la plateforme en partenariat avec le Carbon Manager et le Data Scientist.

Vous serez à ce titre en charge des missions suivantes : 

- Gérer le  management et de la logistique de la data, de la fondation et de l'architecture technique de l'outil.          
- Contribuer  à l'éco-conception, à l'amélioration des performances de l'outil, à l'optimisation des processus de livraison ainsi qu'à la construction de projets techniques en corrélation avec d'autres lead développeurs.

Vous maîtrisez la technologie ETL et le langage SQL. Vous avez fait de la modélisation de Base de Données, êtes à l'aise avec de la data Open Source. Vous avez des notions d'éco-conception informatique.   Vous êtes force de proposition et savez trouvez des solutions techniques pour la construction d'un outil en phase de création.

PROFIL: 
Vous avez l'esprit start-up et avez la volonté de faire partie d'un projet sur le long terme et tourné vers le développement durable, tout en apportant
Vous êtes de nature positive, tourné(e) vers l'action, avec un vrai esprit d'équipe, mais vous êtes également capable de travailler de manière autonome.",https://candidat.pole-emploi.fr/offres/recherche/detail/128TPBB
4,Data Base Administrator H/F,loire,2022-02-25,Unknow,"* Installation of databases on our customers' IT infrastructures
 * Monitoring and tuning during the qualification steps of our software package
 * Maintain all the bases installed at our customers' premises in operational condition.
 * Regular 24/7 on-call for a week
 Minimum 3 years' experience as a Database Administrator on Oracle software
 * Dataguard
 * Lighty and Solarwind tools
 * RMAN backup
 * Control on Windows and Linux
 * Cluster environment (Oracle Failsafe)
 * Good control on Oracle's optimizer
 * Base 11 à 19c
 * Ideally, an experience on SQL Server
 * Professional English required
 Type d'emploi : Temps plein, CDIStatut : Cadre
 Salaire : 40 000,00€ à 50 000,00€ par an
 Avantages :
 * Épargne salariale
 * Horaires flexibles
 * Participation au Transport
 * RTT
 * Titre-restaurant
 * Travail à Distance
 Horaires :
 * Travail en journée
 Rémunération supplémentaire :
 * Primes
 ",https://candidat.pole-emploi.fr/offres/recherche/detail/9838217
5,Analyste de données en sélection Maïs (H/F),chappes,2022-02-25,Groupe Limagrain,"Vos missions seront les suivantes :
- Appuis aux sélectionneurs dans la définition et l'exploitation des calibrations (pan calibrations, recommandations).
- Connaissance des concepts PLOTS/BOS liés aux calibrations: intégration des données AgReliant, automatisation des calibrations
- Etudes ponctuelles sur des données maïs
Vous êtes issu d'une formation de niveau BAC+5 en statistiques, génétique, ou sélection
animale ou végétale. Vous avez une expertise forte en analyse de données que vous avez déjà appliqué à une problématique issue de l'agronomie. 
Vous maitrisez les bases de données et la conceptualisation.
Vous avez la capacité de mener les analyses statistiques, de rédiger leur interprétation et de présenter les résultats.
Vous appréciez le travail en équipe. Rigueur et curiosité sont vos atouts. Vous maitrisez parfaitement l'anglais oral et écrit.
Le poste est à pourvoir en CDD sur une durée de 12 mois sur notre site de Chappes (63). ",https://candidat.pole-emploi.fr/offres/recherche/detail/9841018
6,Business Analyst Veeva Vault F/H (H/F),69,2022-02-25,Unknow,"Présentation de l'entreprise : 
 COWORK Engineering est une société de conseil spécialisée en management de projets industriels et expertise technique. Née de la volonté d'être un véritable partenaire de développement aux cotés de nos clients industriels (Transport, Energie, Infrastructures, Médical & Pharmaceutique), COWORK Engineering capitalise sur la mutualisation des compétences de nos experts et la proximité géographique pour apporter une réponse complète à leurs projets. Nouvellement créée, nous vous offrons l'opportunité de participer à une véritable aventure humaine dans laquelle chacun jouera un rôle nécessaire au développement de COWORK Engineering
 Descriptif du poste : 
 Rejoignez notre équipe de Coworkers et intervenez directement au sein d'un de nos clients, en charge de la conception et de la livraison d'un nouveau système de gestion de contenue, dans le domaine de la pharmaceutique. En tant que Business Analyst Veeva Vault vos principales activités se répartissent de la manière suivante :
 Sous la responsabilité du Business Stream Lead, vous fournirez les documents et les activités liés au nouvel outil de gestion du système de qualité (remplaçant l'outil actuel du système de gestion de la qualité de notre client) pour la partie gestion des déviations, y compris les enquêtes, CAPA, ET et les enquêtes initiales de laboratoire, et vous fournirez le support de projet associé à ce nouveau système.
 Description du profil : 
 Vous êtes doté d'une bonne capacité d'analyse et de résolution des problèmes, vous avez une bonne gestion des priorités, vous êtes autonome. Vos qualités relationnelles et vos connaissances apporteront une dimension technique à forte valeur ajoutée. Passionné par le pilotage de projet, vous avez des qualités d'écoute, d'observation et êtes par ailleurs diplomate et patient(e), vous êtes à même de faciliter des échanges en intelligence collective.
 Vous avez :
 * Connaissance des outils Veeva ""Quality suite""
 * Connaissance des processus Qualité et de la validation des systèmes informatisés
 * Connaissance des processus de gestion des déviations
 * Connaissance de la mise en œuvre de nouveaux systèmes
 Type d'emploi : Temps plein, CDIStatut : Cadre
 Salaire : 40 000,00€ à 60 000,00€ par an
 Avantages :
 * Participation au Transport
 Horaires :
 * Travail en journée
 Langue:
 * Anglais (Exigé)
 ",https://candidat.pole-emploi.fr/offres/recherche/detail/9837174
7,Chargé de mission Reporting System Data -  (H/F),cluses,2022-02-24,SOMFY ACTIVITES SA,"Description du poste

Au sein de l'équipe Global Controlling & Process et sous la responsabilité du
Reporting Tool Manager, vos principales missions seront d'assurer la stabilité et les évolutions de nos outils EPM (Entreprise Performance Management).
Ces outils permettent de mieux planifier et d'évaluer les objectifs stratégiques ainsi que leur exécution, afin de garantir la performance et la réussite de l'organisation. Ils sont clefs dans une organisation en pleine expansion telle que SOMFY. 
Vous serez également en support dans les évolutions de ces systèmes en travaillant collaboration avec le EPM Financial Project Leader.
Nous travaillons avec l'EPM Hyperion, (Oracle Hyperion Financial Management).

Vos principales missions: 
-	Suivre et participer aux évolutions de notre plateforme EPM, (interface avec le DataWarehouse, projet de nouvelle classification). 
-	Participer ponctuellement aux clôtures sous le module hyperion planning
-	Apporter son support à la gestion des accès utilisateurs
-	Contrôler la qualité des données, (revue des écarts).
-	Gérer les référentiels : codification clients, produits, entités 
-	Apporter son soutien à l'EPM Financial Project Leader sur les différents travaux en cours tels que la gestion des métadonnées dans nos systèmes d'information.
-	Participer aux projets du service, (création de nouvelles interfaces, synchronisation de données, création de nouvelles classifications,  ).
-	Former les équipes Finance sur l'EPM pour assurer un bon niveau de compétences de la gestion de l'outil 


Qualifications

-	Formation Master en Contrôle de Gestion avec appétence pour les systèmes d'information / Gestion de données 
-	Expérience recherchée : entre 2 et 5 ans, première expérience en stage ou alternance acceptée 
-	Expérience avec Hyperion ou autre EPM : un plus 
-	Bon niveau sur Excel (fonctions, recetter des données, contrôler les clefs d'unicité, ...)
-	Anglais niveau B2 avancé, minimum

Au délai des compétences, vous êtes connu(e) pour votre rigueur, agilité et adaptabilité. Nous recherchons une personne motivée à nous rejoindre qui aime travailler en mode projet et qui souhaite se développer sur la partie système et gestion de données. 


Informations complémentaires

-	Contrat CDI, date d'entrée à convenir (le plus tôt possible)
-	Localisation : Siège Social, Cluses (Haute-Savoie)
-	Poste ouvert au télé travail, dans la limite de deux jours par semaine 
 
Pour le Groupe Somfy, la diversité est un credo. 
",https://candidat.pole-emploi.fr/offres/recherche/detail/128RYRZ
8,Chef de Projet Data /Product owner (H/F),lyon ,2022-02-24,AYA CONSEIL ET STRATEGIE,"
Notre client est un groupe privé et indépendant qui propose un ensemble de solutions pour les entreprises, de la gestion du risque, à la procédure de conformité et aux données marketing.
Dans le cadre d'un remplacement, nous recherchons un  Chef de Projet Data / API : 

Vos missions :

- Vous contrôlez la qualité des livrables intermédiaires (Cahier des charges, diagramme d'architecture, plan de test,  )

- Vous identifiez les risques projets, alertez quand nécessaire et trouvez les solutions adéquates

- Vous Pilotez et animez des comités de projets avec les différentes parties prenantes à l'international : Sponsor, Architecture, Utilisateurs, Développeurs 

- Vous portez la vision du sponsor et animez l'équipe dédiée

- Vous connaissez les contraintes liées aux données (RGPD, Cycle de vie de la donnée etc )

- Lors d'avant-vente technique vous validez les besoins client et apportez des solutions


Le profil 
Diplômé.e de l'enseignement supérieur (ingénieur ou universitaire), vous possédez plus de 3 années d'expérience en conduite de projets autour des méthodologies AGILE, au sein d'une ESN ou d'un client final.

Votre niveau d'anglais est courant.

Doté.e d'un excellent relationnel, vous connaissez parfaitement les problématiques liées au SGBD (Oracle) et l'eco-système BigData (NoSql, Python, Hadoop, Redshift).

Vous maîtrisez aussi un EL-T majeur du marché tel Talend ou Stambia ainsi que les nouvelles technologies liées aux API full REST

En outre, vous êtes à l'aise en phase avant-vente chez nos clients grands comptes lors d'accompagnement et de suivi technique. Vous avez évolué idéalement dans le monde de la finance.

Enfin, votre souhait de travailler dans un environnement international dynamique et décontracté finira de vous convaincre à postuler parmi nous !


Rémunération :

Salaire fixe selon profil et expérience
Prime de participation (équivalente à 1 mois de salaire) et prime de fin d'année
Tickets Restaurants (valeur : 9 euros)
Une prise en charge à 100% de la mutuelle",https://candidat.pole-emploi.fr/offres/recherche/detail/128QZMQ
9,Data Manager (H/F),tain l hermitage,2022-02-24,Maison M. Chapoutier,"L'univers Chapoutier s'est développé autour de ses domaines viticoles bio et biodynamiques tout en diversifiant ses activités dans un esprit de partage : œnotourisme, caveaux de vente, hôtellerie/restauration.

Dans le cadre de notre forte croissance et de nos projets d'amélioration continue, nous créons un poste de Data Manager F/H, responsable de la conformité et de la cohérence des données intégrées ou à intégrer dans l'ensemble des SI de la Maison Chapoutier.
Ainsi, vous aurez pour tâches :
- Assurer la conformité des données et bases de données actuelles (diagnostic, définition d'un objectif, plan d'action pour l'atteindre),
- Définir les modes de gestion et d'intégration des nouvelles données non encore présentes dans les ERP (centraliser les besoins, piloter les projets, former les opérationnels),
- Mettre à jour les extractions de données des différents systèmes d'informations (créer ou modifier les requêtes existantes),
- Contrôler la conformité des données (définir un plan de contrôle, mettre ne place des KPI. ",https://candidat.pole-emploi.fr/offres/recherche/detail/9773088
